fen,actions,H,U,HU,result
rnbqk2r/pp1p2pp/2p1pp2/1N6/1b2P3/2P5/PP1P1P1P/R1BQKB1R w KQkq - 0 7,10640,,0.009808335453271866,,1-0
rnbq1k1r/ppNp2pp/2p1pp2/8/1b2P3/2P5/PP1P1P1P/R1BQKB1R w KQ - 2 8,3595,,0.009565447457134724,,1-0
rnbq1k1r/ppNp2p1/2p1pp1p/8/1b1PP3/2P5/PP3P1P/R1BQKB1R w KQ - 0 9,2235,2.2733054161071777,0.005186960566788912,0.01179154554961559,1-0
rnbq1k1r/ppNp4/2p1pppp/8/1b1PP3/2P5/PP3P1P/R1BQKBR1 w Q - 0 10,4875,2.066910982131958,0.0028856140561401844,0.0059643073828304916,1-0
r1bq1k1r/ppNp4/n1p1pppp/8/1b1PP2P/2P5/PP3P2/R1BQKBR1 w Q - 1 11,2595,1.741483449935913,0.0028641107492148876,0.004987801468541275,1-0
r1bq1k1r/ppN5/n1pppppp/8/1b1PP2P/P1P5/1P3P2/R1BQKBR1 w Q - 0 12,4235,1.8558236360549927,0.003111592261120677,0.005774566463953551,1-0
r1bq1k1r/p1N5/nppppppp/8/1b1PPP1P/P1P5/1P6/R1BQKBR1 w Q - 0 13,5160,1.899048924446106,0.0032588732428848743,0.006188759726806714,1-0
r1bq1k1r/p1N5/npppppp1/7p/3PPP1P/2P5/1P6/R1BQKBR1 w Q - 0 14,2955,1.7877824306488037,0.0023288370575755835,0.004163453975377485,1-0
r1bq1k1r/p1N5/nppp1pp1/4p2p/1P1PPP1P/2P5/8/R1BQKBR1 w Q - 0 15,9315,1.7138607501983643,0.004259350243955851,0.00729993320446376,1-0
r1bq1k1r/p1N5/nppp1p2/4pPpp/1P1PP2P/2P5/8/R1BQKBR1 w Q - 0 16,9950,1.4014744758605957,0.004780702292919159,0.006700032240214426,1-0
r1bq1kr1/p1N5/nppp1p2/4pP1p/1P1PP3/2P5/8/R1BQKBR1 w Q - 1 17,2155,0.7229787707328796,0.0021514082327485085,0.0015554224794571136,1-0
r1bq1kr1/p1N3R1/nppp1p2/4pP2/1P1PP2p/2P5/8/R1BQKB2 w Q - 0 18,860,1.7617218494415283,0.005545841529965401,0.00977023019688028,1-0
r1bq1kr1/p1N3R1/nppp1p1B/4pP2/1P1PP3/2P4p/8/R2QKB2 w Q - 0 19,5795,2.337928056716919,0.005335638765245676,0.012474339569774284,1-0
r1bq1kr1/p1N3R1/nppp1p1B/4pP2/1PPPP3/8/7p/R2QKB2 w Q - 0 20,15970,2.1625521183013916,0.0055414726957678795,0.01198372351674215,1-0
r2q1kr1/p5R1/nppp1p1B/4pP2/1PPPP3/8/7p/R2QKB2 w Q - 0 21,17315,2.386065721511841,0.003856862196698785,0.00920272668013783,1-0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1990,0.5787658095359802,0.005506695248186588,0.0031870869331846463,0-1
rnbqkbnr/ppppp1pp/5p2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,400,,0.00623099273070693,,0-1
rnbqkb1r/ppppp1pp/5p1n/8/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq - 2 3,4555,,0.00877632386982441,,0-1
rnbqkb1r/pp1pp1pp/2p2p1n/8/6P1/2N2N2/PPPPPP1P/R1BQKB1R w KQkq - 0 4,3875,,0.007453182712197304,,0-1
rnbqkb1r/pp1p2pp/2p2p1n/4p3/6P1/2N1PN2/PPPP1P1P/R1BQKB1R w KQkq - 0 5,6800,,0.009879610501229763,,0-1
rnbqkb1r/pp4pp/2p2p1n/3pp1N1/6P1/2N1P3/PPPP1P1P/R1BQKB1R w KQkq - 0 6,12240,,0.014860989525914192,,0-1
r1bqkb2/pp4p1/n1p2p2/3pp3/6P1/2N1P3/PPPP1P1P/R1BQKB1R w KQq - 1 7,2955,,0.006776245776563883,,0-1
r1bqkb2/pp4p1/n1p2p2/4p3/1P1p2P1/2N1P3/P1PP1P1P/R1BQKB1R w KQq - 0 8,5840,,0.005908713676035404,,0-1
r1bqkb2/pp4p1/n4p2/4p3/1P1p2P1/4P3/P1PP1P1P/R1BQKB1R w KQq - 0 9,3555,,0.009793266654014587,,0-1
r2qkb2/pp4p1/n3bp2/4p3/1P1p2P1/3PP3/P1P2P1P/R1BQKB1R w KQq - 1 10,3275,,0.0072948080487549305,,0-1
r2qkb2/pp4p1/4bp2/4p3/2Pp2P1/3PP3/P4P1P/R1BQKB1R w KQq - 0 11,1060,,0.008331399410963058,,0-1
r2qkb2/p5p1/4bp2/1p2p3/Q1Pp2P1/3PP3/P4P1P/R1B1KB1R w KQq - 0 12,7755,,0.00996218528598547,,0-1
r2qk3/p5p1/Q3bp2/1p2p3/2Pp2P1/b2PP3/P4P1P/R1B1KB1R w KQq - 2 13,12815,,0.008691905997693539,,0-1
r2qk3/p5p1/5p2/1p2p3/2Pp2P1/3PP3/Pb3P1P/R1B1KB1R w KQq - 1 14,6435,,0.010729022324085236,,0-1
r2qk3/p5p1/5p2/4p3/1pPpP1P1/3P4/Pb3P1P/R1B1KB1R w KQq - 0 15,8355,,0.010221296921372414,,0-1
r2qk3/6p1/5p2/p1P1p3/1p1pP1P1/3P4/Pb3P1P/R1B1KB1R w KQq - 0 16,9635,,0.012314911000430584,,0-1
r2qk3/6p1/5p2/p1P1p1P1/3pP3/1p1P4/Pb3P1P/R1B1KB1R w KQq - 0 17,4875,,0.008952165953814983,,0-1
r2qk3/6p1/5p2/p1P1p1P1/3pP2P/1p1P4/P4P2/R3KB1R w KQq - 0 18,2600,,0.007652398198843002,,0-1
1r1qk3/6p1/5p2/p1P1p1P1/3pP2P/3P4/5P2/R3KB1R w KQ - 1 19,0,,0.008800712414085865,,0-1
3qk3/6p1/5p2/p1P1p1P1/3pP2P/3P4/1r3P2/1R2KB1R w K - 3 20,355,,0.005671061109751463,,0-1
1q2k3/6p1/5p2/p1P1p1P1/3pP2P/3P4/5P2/4KB1R w K - 1 21,9955,,0.011020896956324577,,0-1
4k3/6p1/5p2/p1P1p1PP/3pP3/3P4/1q3P2/4KB1R w K - 1 22,12515,,0.005410181358456612,,0-1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1990,0.5787658095359802,0.005506695248186588,0.0031870869331846463,1-0
rnbqkbnr/ppppp1pp/5p2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,400,,0.00623099273070693,,1-0
rnbqkbnr/pp1pp1pp/2p2p2/8/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq - 0 3,3595,,0.006556896958500147,,1-0
rnbqkbnr/pp1p2pp/2p1pp2/8/3P4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq - 0 4,6800,,0.009040619246661663,,1-0
rnbqkbnr/pp1p2pp/2p1p3/8/3P4/2N5/PPP1PPPP/R1BQKB1R w KQkq - 0 5,815,,0.0077416799031198025,,1-0
rnbqkb1r/pp1p2pp/2p1pn2/6B1/3P4/2N5/PPP1PPPP/R2QKB1R w KQkq - 2 6,3875,,0.008917986415326595,,1-0
