fen,n,W,D,L,pW,pD,pL,mean_reward,reward_variance,result_entropy,ci95_low,ci95_high,ci95_width,ci_contains_zero,H_mean,U_mean,HU_mean,H_count,U_count,HU_count,H_fraction,U_fraction,HU_fraction
rnbqkbnr/ppp2ppp/8/3pp3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,44,20,6,18,0.45454545454545453,0.13636363636363635,0.4090909090909091,0.045454545454545414,0.8615702479338843,1.4365455520910289,-0.2288083770293221,0.31971746793841294,0.548525844967735,True,2.297168720600217,0.018399160799824378,0.04243913791380553,43,44,43,0.9772727272727273,1.0,0.9772727272727273
rnbqk1nr/ppp2ppp/8/3pp3/1b1PP3/2P2N2/PP3PPP/RNBQKB1R b KQkq - 0 4,22,7,4,11,0.3181818181818182,0.18181818181818182,0.5,-0.18181818181818182,0.7851239669421487,1.47283015230032,-0.5520773900486691,0.18844102641230537,0.7405184164609744,True,2.2037665193731133,0.02116868280890313,0.04664314346325129,22,22,22,1.0,1.0,1.0
rnbqkb1r/ppp1p1pp/5p1n/1N1p4/6P1/5N2/PPPPPP1P/R1BQKB1R b KQkq - 1 4,18,10,2,6,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.22222222222222227,0.8395061728395061,1.3516441151533924,-0.20105391516601379,0.6454983596104583,0.8465522747764721,True,1.6735780239105225,0.016912138865639765,0.028313711187122337,1,18,1,0.05555555555555555,1.0,0.05555555555555555
rn1qkb1r/ppp1p1pp/5p1n/1N1p4/8/7B/PPPPPP1P/R1BQK2R b KQkq - 1 5,10,6,1,3,0.6,0.1,0.3,0.3,0.8099999999999999,1.295461844238322,-0.2578155290741054,0.8578155290741054,1.1156310581482107,True,,0.015627800859510897,,0,10,0,0.0,1.0,0.0
rn1qkb1r/ppp1p1pp/5p2/1N1p4/8/8/PPPPPP1P/R1BQK2R b KQkq - 0 6,22,15,2,5,0.6818181818181818,0.09090909090909091,0.22727272727272727,0.4545454545454545,0.7024793388429753,1.1770225546116342,0.10431530602271488,0.8047756030681941,0.7004602970454792,False,,0.02307902513579889,,0,22,0,0.0,1.0,0.0
rnbqkb1r/pp2p1pp/2p2p2/3p4/3PP3/2N5/PPP2PP1/R1BQKB1R b KQkq - 0 6,16,10,1,5,0.625,0.0625,0.3125,0.3125,0.83984375,1.198192411043098,-0.13654239648405775,0.7615423964840577,0.8980847929681155,True,1.2882393598556519,0.028584889019839466,0.05990471054639013,1,16,1,0.0625,1.0,0.0625
rn1qkb1r/pp2p1pp/2p2p2/3p4/3PP1b1/2N2P2/PPP3P1/R1BQKB1R b KQkq - 0 7,15,9,1,5,0.6,0.06666666666666667,0.3333333333333333,0.26666666666666666,0.8622222222222222,1.2309595631140104,-0.20324049870070998,0.7365738320340434,0.9398143307347533,True,,0.025390151018897692,,0,15,0,0.0,1.0,0.0
rnbqkb1r/ppp1p1pp/5p2/3p4/3P4/2N5/PPP1PP1P/R1BQKB1R w KQkq - 0 5,23,11,0,12,0.4782608695652174,0.0,0.5217391304347826,-0.04347826086956519,0.998109640831758,0.9986359641585718,-0.45177254326215316,0.3648160215230228,0.8165885647851759,True,,0.030358179998786552,,0,23,0,0.0,1.0,0.0
rn1qkb1r/ppp1p1pp/5p2/3p4/3PP1b1/2N5/PPP2P1P/R1BQKB1R w KQkq - 1 6,15,10,0,5,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.9182958340544896,-0.14378510499124192,0.8104517716579085,0.9542368766491505,True,0.00761069506406784,0.012084291192392509,8.888613099562806e-05,5,15,5,0.3333333333333333,1.0,0.3333333333333333
rnbqkb1r/ppp3pp/5p1n/3pp3/3P2P1/2N2N2/PPP1PP1P/R1BQKB1R w KQkq - 0 5,24,13,2,9,0.5416666666666666,0.08333333333333333,0.375,0.16666666666666663,0.8888888888888888,1.3085024445205309,-0.2105285780253906,0.5438619113587239,0.7543904893841145,True,1.2820830742518108,0.020983583410270512,0.02407955460352995,3,24,3,0.125,1.0,0.125
rnbqkbnr/pp1pp1pp/2p2p2/1N6/8/5N2/PPPPPPPP/R1BQKB1R b KQkq - 1 3,13,10,1,2,0.7692307692307693,0.07692307692307693,0.15384615384615385,0.6153846153846154,0.5443786982248521,0.9912642605354287,0.2143083371901856,1.0164608935790453,0.8021525563888597,False,,0.026616589524424993,,0,13,0,0.0,1.0,0.0
rnbqkb1r/1pp1p1pp/p4p1n/3p4/3PP1P1/2N2N2/PPP2P1P/R1BQKB1R b KQkq - 0 5,18,8,2,8,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.0,0.8888888888888888,1.3921472236645345,-0.435547552120012,0.435547552120012,0.871095104240024,True,2.0847601890563965,0.02532416468279229,0.040667832971436724,1,18,1,0.05555555555555555,1.0,0.05555555555555555
rnbqkbnr/ppp1p1pp/5p2/1N1p4/8/5N2/PPPPPPPP/R1BQKB1R b KQkq - 1 3,32,21,3,8,0.65625,0.09375,0.25,0.40625,0.7412109375,1.2189514568588302,0.10795634781653829,0.7045436521834617,0.5965873043669234,False,1.0790463089942932,0.017230925848707557,0.016280123599234586,2,32,2,0.0625,1.0,0.0625
