fen,n,W,D,L,pW,pD,pL,mean_reward,reward_variance,result_entropy,ci95_low,ci95_high,ci95_width,ci_contains_zero,H_mean,U_mean,HU_mean
rnb1k1nr/pppp2pp/4p3/1N3p2/1b5q/2P1P1P1/PP1P1P1P/RNBQKB1R b KQkq - 0 6,58,23,6,29,0.39655172413793105,0.10344827586206896,0.5,-0.10344827586206895,0.8858501783590963,1.36775429077692,-0.3456706367091382,0.13877408498500032,0.48444472169413855,True,0.5405070551654749,0.004015114607995954,0.0021600853643430817
rnb1k2r/pppp3p/4p1p1/1N6/1b6/2P1P1P1/PP1P3P/RNB1KB1R b KQkq - 0 10,10,1,0,9,0.1,0.0,0.9,-0.8,0.3599999999999999,0.4689955935892812,-1.171877019382737,-0.4281229806172631,0.743754038765474,False,,0.004046604316681623,
rnb1k2r/pppp2pp/4pn2/1N3p2/1b5q/2PPP1P1/PP3P1P/RNBQKB1R b KQkq - 0 7,26,13,2,11,0.5,0.07692307692307693,0.4230769230769231,0.07692307692307693,0.9171597633136095,1.3096910973393818,-0.291192261543154,0.44503841538930783,0.7362306769324618,True,1.0882135820388794,0.003602876498077351,0.0038945784788396364
rnb1k2r/pppp2pp/4pn2/1N3p1q/1b6/2PPPPP1/PP5P/RNBQKB1R b KQkq - 0 8,20,10,1,9,0.5,0.05,0.45,0.04999999999999999,0.9475,1.2344977967946407,-0.37660181859713654,0.4766018185971365,0.8532036371942731,True,1.8030070215463638,0.0022904283134266732,0.004122494815535973
r3k2r/1p1p2pp/p3pn2/5p1q/1b6/2PPPPP1/PP5P/RNBQKB1R b KQkq - 0 9,15,9,1,5,0.6,0.06666666666666667,0.3333333333333333,0.26666666666666666,0.8622222222222222,1.2309595631140104,-0.20324049870070998,0.7365738320340434,0.9398143307347533,True,2.1634768417903354,0.002414857658247153,0.005217724298265859
rnbqkbnr/ppp1p1pp/5p2/3p4/8/4PN2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,462,264,59,139,0.5714285714285714,0.1277056277056277,0.3008658008658009,0.2705627705627705,0.7990901594797699,1.3618598714343522,0.18905012392409196,0.3520754172014491,0.16302529327735713,False,0.5391157832145691,0.006100831581561854,0.0032904311018901507
rnbqkbnr/ppp1p1pp/8/3p4/8/4P3/PPPP1PPP/RNBQKB1R w KQkq - 0 4,426,244,57,125,0.5727699530516432,0.13380281690140844,0.2934272300469484,0.27934272300469487,0.788164826202914,1.3678136654007316,0.19503801738780585,0.3636474286215839,0.16860941123377804,False,,0.0069107173804298675,
rnbqkbnr/ppp1p2p/6p1/3p3Q/8/4P3/PPPP1PPP/RNB1KB1R w KQkq - 0 5,426,244,57,125,0.5727699530516432,0.13380281690140844,0.2934272300469484,0.27934272300469487,0.788164826202914,1.3678136654007316,0.19503801738780585,0.3636474286215839,0.16860941123377804,False,0.0030561062658942023,0.006245421547390205,1.900445851956883e-05
rn1qkbnr/ppp1p2p/4b1p1/3pQ3/8/4P3/PPPP1PPP/RNB1KB1R w KQkq - 2 6,424,242,57,125,0.5707547169811321,0.13443396226415094,0.294811320754717,0.2759433962264151,0.7894212798148809,1.3704613276513995,0.19137276399338948,0.36051402845944075,0.16914126446605127,False,0.9171480042739999,0.006563459530709979,0.006012661283288103
r3kbnr/p3p2p/4b1p1/1p1p4/8/4P3/PPPP1PPP/RNB1KB1R w KQkq - 0 7,341,188,47,106,0.5513196480938416,0.1378299120234604,0.31085043988269795,0.24046920821114365,0.8043446478788452,1.3916691362736038,0.14527906291807335,0.33565935350421394,0.1903802905861406,False,,0.00957962974927817,
